訓練單位名稱,縣市別辦訓地,課程代碼,課程名稱,訓練時數,訓練人次,每人訓練費用,開訓日期,結訓日期
"基隆市文化創意產業從業人員職業工會","基隆市","162959","歌唱技巧與聲樂藝術班","42","20","8750","20250306","20250424"
"彰化縣基督教青年會","彰化縣","162960","實用英文會話進階班","30","20","5650","20250313","20250529"
"彰化縣基督教青年會","彰化縣","162961","觀光韓文基礎班","30","20","5650","20250318","20250520"
"臺灣省工業會","臺北市","162965","商用多益班","24","26","4530","20250301","20250329"
"基隆市指甲彩繪美睫美容服務人員職業工會","基隆市","162968","手機攝影與後製技巧班","42","25","8760","20250301","20250419"
"社團法人亞太流行時尚產業發展協會","桃園市","162970","芳香調理課程班","90","25","20760","20250301","20250621"
"社團法人亞太流行時尚產業發展協會","桃園市","162977","花藝美學創作班","54","30","12020","20250311","20250506"
"中華民國不動產代銷經紀商業同業公會全國聯合會","臺中市","162978","共有不動產多數決處份與購買權進階班","45","20","8280","20250306","20250626"
"雙北市職業總工會","臺北市","162981","咖啡豆烘焙班","42","25","9750","20250304","20250325"
"社團法人台灣勞工技能訓練協進會","臺北市","162983","韓語初級1會話班","42","20","7340","20250311","20250429"
"社團法人亞太流行時尚產業發展協會","桃園市","162984","芳香調理課程班","90","25","20760","20250319","20250625"
"社團法人台灣跨界知能發展協會","臺中市","162988","美學花卉植栽設計班","66","25","14680","20250307","20250528"
"宜蘭縣總工會","宜蘭縣","162991","手工藝作品實作班","54","18","12000","20250310","20250502"
"社團法人中華美容技藝促進協會附設職業訓練中心","新北市","162992","男女剪髮技術培訓班","96","20","11900","20250302","20250615"
"社團法人中華勞資法務顧問協會","臺中市","162994","勞資法務講師培訓基礎班","36","24","6760","20250303","20250407"
"基隆市產職業企業總工會","基隆市","163000","電子商務線上直播售貨訓練班","42","20","7670","20250310","20250421"
"社團法人苗栗縣展夢圓關懷協會","苗栗縣","163001","綜合標準舞進階班","47","18","8880","20250304","20250617"
"社團法人苗栗縣展夢圓關懷協會","苗栗縣","163002","瑜珈人才應用實務班","32","18","6000","20250306","20250626"
"社團法人台中市企業講師協會","臺中市","163006","精準說話表達技巧訓練班","24","24","4550","20250307","20250502"
"社團法人台中市企業講師協會","臺中市","163007","採購人員專業職能實務班","36","20","6830","20250308","20250419"
"社團法人台中市企業講師協會","臺中市","163008","職場聽力理解與邏輯表達訓練班","30","20","5690","20250320","20250424"
"社團法人中華職能再造創業培訓推展協會","臺中市","163017","時尚沙龍美甲技能實務班","60","20","13740","20250307","20250516"
"彰化縣舞蹈業職業工會","彰化縣","163018","社交舞花步舞蹈訓練班","63","22","10080","20250304","20250520"
"彰化縣舞蹈業職業工會","彰化縣","163019","單人拉丁舞蹈訓練班","54","21","8910","20250310","20250707"
"彰化縣舞蹈業職業工會","彰化縣","163020","國標舞華爾滋及探戈舞蹈技能訓練班","54","26","7800","20250312","20250514"
"彰化縣職業勞工總工會","彰化縣","163023","多媒材創意彩繪應用班","54","20","11500","20250324","20250521"
"社團法人台灣資產評估協會","臺中市","163025","不動產繼承登記應用班","30","18","5670","20250308","20250412"
"基隆市稅務記帳士從業人員職業工會","基隆市","163033","遺產與贈與稅務實務與法規應用班","30","25","6050","20250302","20250330"
"社團法人臺中市西區大忠社區發展協會","臺中市","163035","精品咖啡萃取與義式咖啡調飲實作班","47","20","11140","20250301","20250419"
"財團法人水源地文教基金會","臺中市","163039","護膚及淨膚保養品實作班","42","24","10740","20250301","20250419"
"財團法人水源地文教基金會","臺中市","163040","藍染工藝縫紮染實作班","42","24","10740","20250302","20250420"
"桃園市電腦商業同業公會","桃園市","163043","職場活用Excel x ChatGPT 高效實作班","36","22","6680","20250308","20250419"
"國立中正大學","臺中市","163044","勞工關係專題碩士學分班","54","30","8910","20250308","20250607"
"宜蘭縣總工會附設職業訓練中心","宜蘭縣","163045","家常宴客料理實作班","57","18","11500","20250313","20250527"
"基隆市藥妝從業人員職業工會","基隆市","163049","自媒體創新行銷與品牌經營班","42","18","7960","20250302","20250420"
"花蓮縣美姿造型暨整體配飾設計職業工會","花蓮縣","163051","植萃手工皂及清潔品班","54","15","11500","20250223","20250504"
"台灣省工商安全衛生協會附設中壢職業訓練中心","桃園市","163058","職業安全衛生管理人員訓練班","115","35","11680","20250322","20250524"
"台灣省工商安全衛生協會附設中壢職業訓練中心","桃園市","163059","荷重在一公噸以上之堆高機操作人員訓練班","34","30","4900","20250325","20250330"
"社團法人中華巨倫人才培訓協會","臺北市","163060","日語會話進階班","47","18","8910","20250312","20250625"
"社團法人中華巨倫人才培訓協會","臺北市","163063","日語會話入門班","47","18","8910","20250308","20250503"
"新北市菸酒運銷業職業工會","新北市","163072","創意調酒應用實務班","36","20","8370","20250226","20250418"
"社團法人中華專業講師協會","臺北市","163073","企業主管管理職能訓練班","30","22","5670","20250322","20250426"
"社團法人台北市不動產教育發展協會","臺北市","163077","不動產經紀人A班","112","25","18400","20250315","20250712"
"社團法人台北市不動產教育發展協會","臺北市","163080","地政士進階班","45","25","7900","20250311","20250501"
"新北市餐飲業產業工會","新北市","163081","手沖咖啡及拉花實務班","46","16","10900","20250308","20250503"
"社團法人中華兩岸影視文創經貿交流總會","臺北市","163084","自媒體經營與影音商攝應用班","66","26","11300","20250510","20250726"
"新北市餐飲業產業工會","新北市","163085","西點烘焙蛋糕實務班","47","20","11140","20250225","20250415"
"社團法人中華菁鷹人才技能學習協會","臺北市","163089","西班牙語初級班","47","18","8910","20250316","20250511"
